,Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked,Family Size
0,0,3,1,22.0,1,0,7.25,3,1
1,1,1,0,38.0,1,0,71.2833,2,1
2,1,3,0,26.0,0,0,7.925,3,0
3,1,1,0,35.0,1,0,53.1,3,1
4,0,3,1,35.0,0,0,8.05,3,0
5,0,3,1,30.0,0,0,8.4583,1,0
6,0,1,1,54.0,0,0,51.8625,3,0
7,0,3,1,2.0,3,1,21.075,3,4
8,1,3,0,27.0,0,2,11.1333,3,2
9,1,2,0,14.0,1,0,30.0708,2,1
10,1,3,0,4.0,1,1,16.7,3,2
11,1,1,0,58.0,0,0,26.55,3,0
12,0,3,1,20.0,0,0,8.05,3,0
13,0,3,1,39.0,1,5,31.275,3,6
14,0,3,0,14.0,0,0,7.8542,3,0
15,1,2,0,55.0,0,0,16.0,3,0
16,0,3,1,2.0,4,1,29.125,1,5
17,1,2,1,30.0,0,0,13.0,3,0
18,0,3,0,31.0,1,0,18.0,3,1
19,1,3,0,30.0,0,0,7.225,2,0
20,0,2,1,35.0,0,0,26.0,3,0
21,1,2,1,34.0,0,0,13.0,3,0
22,1,3,0,15.0,0,0,8.0292,1,0
23,1,1,1,28.0,0,0,35.5,3,0
24,0,3,0,8.0,3,1,21.075,3,4
25,1,3,0,38.0,1,5,31.3875,3,6
26,0,3,1,30.0,0,0,7.225,2,0
27,0,1,1,19.0,3,2,263.0,3,5
28,1,3,0,30.0,0,0,7.8792,1,0
29,0,3,1,30.0,0,0,7.8958,3,0
30,0,1,1,40.0,0,0,27.7208,2,0
31,1,1,0,30.0,1,0,146.5208,2,1
32,1,3,0,30.0,0,0,7.75,1,0
33,0,2,1,66.0,0,0,10.5,3,0
34,0,1,1,28.0,1,0,82.1708,2,1
35,0,1,1,42.0,1,0,52.0,3,1
36,1,3,1,30.0,0,0,7.2292,2,0
37,0,3,1,21.0,0,0,8.05,3,0
38,0,3,0,18.0,2,0,18.0,3,2
39,1,3,0,14.0,1,0,11.2417,2,1
40,0,3,0,40.0,1,0,9.475,3,1
41,0,2,0,27.0,1,0,21.0,3,1
42,0,3,1,30.0,0,0,7.8958,2,0
43,1,2,0,3.0,1,2,41.5792,2,3
44,1,3,0,19.0,0,0,7.8792,1,0
45,0,3,1,30.0,0,0,8.05,3,0
46,0,3,1,30.0,1,0,15.5,1,1
47,1,3,0,30.0,0,0,7.75,1,0
48,0,3,1,30.0,2,0,21.6792,2,2
49,0,3,0,18.0,1,0,17.8,3,1
50,0,3,1,7.0,4,1,39.6875,3,5
51,0,3,1,21.0,0,0,7.8,3,0
52,1,1,0,49.0,1,0,76.7292,2,1
53,1,2,0,29.0,1,0,26.0,3,1
54,0,1,1,65.0,0,1,61.9792,2,1
55,1,1,1,30.0,0,0,35.5,3,0
56,1,2,0,21.0,0,0,10.5,3,0
57,0,3,1,28.0,0,0,7.2292,2,0
58,1,2,0,5.0,1,2,27.75,3,3
59,0,3,1,11.0,5,2,46.9,3,7
60,0,3,1,22.0,0,0,7.2292,2,0
61,1,1,0,38.0,0,0,80.0,3,0
62,0,1,1,45.0,1,0,83.475,3,1
63,0,3,1,4.0,3,2,27.9,3,5
64,0,1,1,30.0,0,0,27.7208,2,0
65,1,3,1,30.0,1,1,15.2458,2,2
66,1,2,0,29.0,0,0,10.5,3,0
67,0,3,1,19.0,0,0,8.1583,3,0
68,1,3,0,17.0,4,2,7.925,3,6
69,0,3,1,26.0,2,0,8.6625,3,2
70,0,2,1,32.0,0,0,10.5,3,0
71,0,3,0,16.0,5,2,46.9,3,7
72,0,2,1,21.0,0,0,73.5,3,0
73,0,3,1,26.0,1,0,14.4542,2,1
74,1,3,1,32.0,0,0,56.4958,3,0
75,0,3,1,25.0,0,0,7.65,3,0
76,0,3,1,30.0,0,0,7.8958,3,0
77,0,3,1,30.0,0,0,8.05,3,0
78,1,2,1,1.0,0,2,29.0,3,2
79,1,3,0,30.0,0,0,12.475,3,0
80,0,3,1,22.0,0,0,9.0,3,0
81,1,3,1,29.0,0,0,9.5,3,0
82,1,3,0,30.0,0,0,7.7875,1,0
83,0,1,1,28.0,0,0,47.1,3,0
84,1,2,0,17.0,0,0,10.5,3,0
85,1,3,0,33.0,3,0,15.85,3,3
86,0,3,1,16.0,1,3,34.375,3,4
87,0,3,1,30.0,0,0,8.05,3,0
88,1,1,0,23.0,3,2,263.0,3,5
89,0,3,1,24.0,0,0,8.05,3,0
90,0,3,1,29.0,0,0,8.05,3,0
91,0,3,1,20.0,0,0,7.8542,3,0
92,0,1,1,46.0,1,0,61.175,3,1
93,0,3,1,26.0,1,2,20.575,3,3
94,0,3,1,59.0,0,0,7.25,3,0
95,0,3,1,30.0,0,0,8.05,3,0
96,0,1,1,71.0,0,0,34.6542,2,0
97,1,1,1,23.0,0,1,63.3583,2,1
98,1,2,0,34.0,0,1,23.0,3,1
99,0,2,1,34.0,1,0,26.0,3,1
100,0,3,0,28.0,0,0,7.8958,3,0
101,0,3,1,30.0,0,0,7.8958,3,0
102,0,1,1,21.0,0,1,77.2875,3,1
103,0,3,1,33.0,0,0,8.6542,3,0
104,0,3,1,37.0,2,0,7.925,3,2
105,0,3,1,28.0,0,0,7.8958,3,0
106,1,3,0,21.0,0,0,7.65,3,0
107,1,3,1,30.0,0,0,7.775,3,0
108,0,3,1,38.0,0,0,7.8958,3,0
109,1,3,0,30.0,1,0,24.15,1,1
110,0,1,1,47.0,0,0,52.0,3,0
111,0,3,0,14.0,1,0,14.4542,2,1
112,0,3,1,22.0,0,0,8.05,3,0
113,0,3,0,20.0,1,0,9.825,3,1
114,0,3,0,17.0,0,0,14.4583,2,0
115,0,3,1,21.0,0,0,7.925,3,0
116,0,3,1,70.0,0,0,7.75,1,0
117,0,2,1,29.0,1,0,21.0,3,1
118,0,1,1,24.0,0,1,247.5208,2,1
119,0,3,0,2.0,4,2,31.275,3,6
120,0,2,1,21.0,2,0,73.5,3,2
121,0,3,1,30.0,0,0,8.05,3,0
122,0,2,1,32.0,1,0,30.0708,2,1
123,1,2,0,32.0,0,0,13.0,3,0
124,0,1,1,54.0,0,1,77.2875,3,1
125,1,3,1,12.0,1,0,11.2417,2,1
126,0,3,1,30.0,0,0,7.75,1,0
127,1,3,1,24.0,0,0,7.1417,3,0
128,1,3,0,30.0,1,1,22.3583,2,2
129,0,3,1,45.0,0,0,6.975,3,0
130,0,3,1,33.0,0,0,7.8958,2,0
131,0,3,1,20.0,0,0,7.05,3,0
132,0,3,0,47.0,1,0,14.5,3,1
133,1,2,0,29.0,1,0,26.0,3,1
134,0,2,1,25.0,0,0,13.0,3,0
135,0,2,1,23.0,0,0,15.0458,2,0
136,1,1,0,19.0,0,2,26.2833,3,2
137,0,1,1,37.0,1,0,53.1,3,1
138,0,3,1,16.0,0,0,9.2167,3,0
139,0,1,1,24.0,0,0,79.2,2,0
140,0,3,0,30.0,0,2,15.2458,2,2
141,1,3,0,22.0,0,0,7.75,3,0
142,1,3,0,24.0,1,0,15.85,3,1
143,0,3,1,19.0,0,0,6.75,1,0
144,0,2,1,18.0,0,0,11.5,3,0
145,0,2,1,19.0,1,1,36.75,3,2
146,1,3,1,27.0,0,0,7.7958,3,0
147,0,3,0,9.0,2,2,34.375,3,4
148,0,2,1,36.0,0,2,26.0,3,2
149,0,2,1,42.0,0,0,13.0,3,0
150,0,2,1,51.0,0,0,12.525,3,0
151,1,1,0,22.0,1,0,66.6,3,1
152,0,3,1,56.0,0,0,8.05,3,0
153,0,3,1,40.0,0,2,14.5,3,2
154,0,3,1,30.0,0,0,7.3125,3,0
155,0,1,1,51.0,0,1,61.3792,2,1
156,1,3,0,16.0,0,0,7.7333,1,0
